,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Indonesia,26.14,25.94,26.02,26.22,26.43,26.41,26.05,25.77,25.87,26.03,26.34,26.34,26.21
"Sumatera Selatan",27.27,26.72,26.91,27.22,27.59,27.66,27.43,27.13,27.42,27.33,27.62,27.22,27.03
"Sulawesi Utara",24.40,24.56,24.60,24.74,24.14,24.82,24.31,24.07,24.10,24.01,24.34,24.56,24.60
"Sulawesi Selatan",24.91,24.85,24.81,24.93,25.16,25.01,24.68,24.25,24.36,24.75,25.40,25.53,25.18
Bengkulu,26.34,25.96,25.97,26.30,26.58,26.66,26.41,26.04,26.29,26.40,26.67,26.40,26.36
Bali,25.60,25.70,25.67,25.78,25.86,25.45,25.13,24.77,24.82,25.31,26.16,26.42,26.16
"Sumatera Barat",26.52,26.17,26.22,26.61,26.87,27.03,26.55,26.28,26.35,26.59,26.73,26.49,26.37
"Nangroe Aceh Darussalam",25.89,25.35,25.53,25.91,26.34,26.34,25.93,25.72,25.73,25.85,26.05,26.08,25.84
"Sulawesi Tenggara",25.46,25.47,25.41,25.58,25.67,25.53,25.16,24.71,24.82,25.22,25.90,26.21,25.86
"Sulawesi Tengah",24.37,24.36,24.32,24.41,24.40,24.61,24.21,23.89,23.99,24.18,24.68,24.76,24.67
Jambi,27.38,26.86,26.96,27.34,27.65,27.85,27.57,27.20,27.38,27.60,27.68,27.33,27.16
"Sulawesi Barat",24.37,24.25,24.20,24.32,24.60,24.55,24.20,23.81,23.96,24.28,24.82,24.86,24.61
"Dki Jakarta",27.62,27.21,27.39,27.60,28.03,27.75,27.37,27.34,27.61,27.50,28.20,27.67,27.73
Riau,27.64,27.11,27.38,27.81,27.99,28.23,27.94,27.62,27.66,27.69,27.70,27.44,27.15
"Daerah Istimewa Yogyakarta",26.66,26.55,26.72,26.79,27.13,26.75,26.36,26.04,26.19,26.37,27.17,26.97,26.84
"Sumatera Utara",26.20,25.83,25.99,26.31,26.53,26.75,26.44,26.19,26.20,26.08,26.12,25.95,26.02
Papua,25.69,25.76,25.88,25.95,26.04,25.82,25.31,24.91,25.01,25.45,25.93,26.15,26.07
"Maluku Utara",25.30,25.34,25.26,25.40,25.46,25.64,25.26,25.02,25.00,25.06,25.32,25.51,25.38
Maluku,26.22,26.29,26.41,26.46,26.51,26.35,25.88,25.46,25.43,25.94,26.49,26.85,26.52
Kepulauan-riau,27.71,26.95,27.30,27.75,28.03,28.39,28.14,27.87,27.94,27.82,27.77,27.47,27.13
"Jawa Barat",26.12,25.85,26.05,26.20,26.56,26.21,25.88,25.79,26.01,25.95,26.56,26.17,26.25
"Papua Barat",25.71,25.65,25.83,25.80,25.92,25.92,25.49,25.18,25.20,25.55,25.94,26.08,25.94
Gorontalo,23.92,24.13,24.08,24.08,23.43,24.25,23.74,23.54,23.56,23.59,23.99,24.27,24.32
Banten,27.08,26.75,26.94,27.10,27.49,27.12,26.76,26.78,27.10,26.98,27.64,27.09,27.25
"Kalimantan Timur",25.90,25.51,25.57,25.86,26.22,26.28,25.99,25.83,25.95,25.96,25.86,25.90,25.85
"Kalimantan Tengah",26.64,26.49,26.47,26.63,26.99,26.98,26.66,26.43,26.52,26.51,26.66,26.70,26.61
"Kalimantan Selatan",26.74,26.46,26.49,26.51,27.20,27.10,26.77,26.47,26.57,26.71,26.98,27.00,26.62
"Kalimantan Barat",26.53,26.30,26.30,26.59,26.73,26.85,26.62,26.51,26.56,26.46,26.53,26.46,26.45
"Jawa Timur",26.85,26.78,26.87,26.94,27.15,26.75,26.41,26.10,26.24,26.60,27.50,27.51,27.31
"Jawa Tengah",26.75,26.51,26.69,26.85,27.19,26.89,26.54,26.28,26.41,26.57,27.23,27.00,26.87
"Nusatenggara Timur",25.51,25.76,25.65,25.82,25.90,25.34,24.73,24.32,24.47,25.25,26.19,26.67,26.03
"Bangka Belitung",27.56,26.97,27.16,27.54,27.87,27.98,27.78,27.54,27.74,27.61,27.87,27.47,27.13
"Nusatenggara Barat",25.58,25.72,25.67,25.75,25.91,25.42,25.06,24.66,24.66,25.33,26.17,26.50,26.10
Lampung,26.88,26.43,26.65,26.86,27.22,27.02,26.79,26.74,27.01,26.82,27.36,26.81,26.85
